image_filename,sha256,Target_Class,Vineyard,Split
healthy267.jpg,7a89f052a9b5c4a77ef9b6130b5f84d65a7da8218d738b925b13466c9bfbf2cb,Healthy,Vineyard_3,Train
black rot677.jpg,74f16e0042eecbc2b3de8418089eb4a1fc7266ef9a85d9318053cecf516d3682,Black Rot,Vineyard_25,Train
leaf blight431.jpg,856203b686272c318b09533e5ed7c6535ef8a37688b2ca0d5251e70c88dba679,Leaf Blight,Vineyard_8,Train
healthy413.jpg,d1d02735cc5304ee6569bb7e8b1eff34dcc9c6fd97574c14f64373ca3d258e13,Healthy,Vineyard_2,Train
esca675.jpg,f2486b88ab87fbceaf327f7ae0ff24857e1a4d3d012004072d0e8a7569e066d9,Esca,Vineyard_24,Train
esca316.jpg,13c213259f8b540f9d3992a42a9b8506626412bc93629ab6421417247af32ded,Esca,Vineyard_2,Train
healthy160.jpg,e7c1bc68dd61fe7b2d6a3693d26d718768eb98253832e0c39f4333a39549521a,Healthy,Vineyard_16,Train
healthy563.jpg,d9f9ee9a46638746dbcdb0fcb351e95f29a234ffa4783fa68c57a1dccab1ab94,Healthy,Vineyard_11,Train
healthy743.jpg,5f0501eda65a91e376f10bb2a9c0a0bd8776c62259964b751d9294a52701d186,Healthy,Vineyard_27,Train
esca682.jpg,e7a853d759d93be4aff8711fdac137956c151c878362959c7c02674f39029ac5,Esca,Vineyard_7,Train
healthy958.jpg,ecfc682fcc995b4b52f6c660f991e5eef6beb0104d3d6a68b41a06798dcb7272,Healthy,Vineyard_2,Train
leaf blight321.jpg,a791522b833fbc3494409a186b0b391c18d204596b6012c4c3d7d168f84a33fb,Leaf Blight,Vineyard_17,Train
esca689.jpg,3d9f3da79fbb983dfca60273ab08f2571a61b3ca3cf6b85266ace8e5d2baf040,Esca,Vineyard_28,Train
esca733.jpg,8a9422c8240b3ec9d77dff3a8d5c01fb2d08afdf756a2f00f30608a6349de238,Esca,Vineyard_27,Train
healthy886.jpg,0569daa69b43ea18a466ef1d7aaaf2cea77264398d25bb4f8ee25ee6aa315011,Healthy,Vineyard_2,Train
esca357.jpg,65b8d4cdc895908a704a06d3e3480815916ccb0287ca7c857e71fc17c5de193c,Esca,Vineyard_10,Train
healthy248.jpg,e8a89e9df6bcc7271d008dd71914bab4a4567f32e29d94578f9bb36b1ee71ea9,Healthy,Vineyard_1,Train
esca595.jpg,054daad104aa4ed72c33b67a1e1876d2ed61b12a006a6c74fdbd5dce59efeb36,Esca,Vineyard_14,Train
healthy965.jpg,3ed7f826eb68903617ee7129dbfa86ef8b8d18b37de9a5db55d6bf2c5e855167,Healthy,Vineyard_13,Train
leaf blight151.jpg,257842eaf090153f9750de185143edb53cdb94bea537657343038214f56f3ffa,Leaf Blight,Vineyard_26,Train
healthy459.jpg,5d3648d8375a95850520731b8c07b23eefa073d3118072e85f0959a6f6e6c2e7,Healthy,Vineyard_10,Train
healthy1019.jpg,59518e9ca9d18cb7a06a99c632c96e8f0d732be3044d0c7a18d2a682d0a3a5ff,Healthy,Vineyard_25,Train
esca552.jpg,32d142c1c628c29b7c79323c5695fc01aac8813e882b55ad206e21825daf6332,Esca,Vineyard_7,Train
healthy757.jpg,a3496af1155910f6d30f47bf9fd3cb0f9c7df42c9597bd2c30081ba093d4b696,Healthy,Vineyard_16,Train
esca318.jpg,9e9e001157c07ec7339f5bfd3820a234ce2dbef17953a6f0d427b9c7e2122e18,Esca,Vineyard_15,Train
esca476.jpg,c52f99df390abfb2ba28328f0aa9cb5e58b0cafe150c8216f439533d0a8f08a8,Esca,Vineyard_18,Train
esca530.jpg,1f4820fa8efa2730356b6fe14f70d13c9e3f27251284be32fde125c0c74e17b5,Esca,Vineyard_22,Train
healthy478.jpg,822b51a9fdb258c169e2d190304e72663653f0e59ea7c8265c5c41843300f9ac,Healthy,Vineyard_1,Train
healthy667.jpg,c1228a2cda73692950111c75c808c62e844ad2caf9bc1311da4a23c986430035,Healthy,Vineyard_1,Train
healthy201.jpg,5d5d7623e4cf85530ada0ecaf4931f7ba950e5dc8d38c6485a5c443b8dcde8e4,Healthy,Vineyard_20,Train
leaf blight219.jpg,6c1d7d8fdee8166be54e51c532bf2ed536732451abb449d6e5b8dc891e63325c,Leaf Blight,Vineyard_5,Train
leaf blight381.jpg,7db1b662386631bb1bab22c24e3f5c71d90570711caaf3027b699a0a2f34727b,Leaf Blight,Vineyard_2,Train
leaf blight213.jpg,2367fc2787fa45a67214e5e09f8a74086fd7ecd560e20f52486703aa6745e840,Leaf Blight,Vineyard_21,Train
leaf blight253.jpg,fedaf96b6273b4626c4064c5773dbd22e78fc64602beaff6fa574461090761d9,Leaf Blight,Vineyard_19,Train
healthy265.jpg,361ea7ae41839f8248a357e99f61c0feefe0605ae7b7884a27a4865eaad853b5,Healthy,Vineyard_24,Train
healthy938.jpg,3fc9c810474851b4cbe3773090c3a55d3bee0e31e1fe9521b20cc21ad9497d6b,Healthy,Vineyard_13,Train
healthy521.jpg,9fec7300edb4026509ad5185738c5d7fb1f814d88abd2ec20e8246158fec32b5,Healthy,Vineyard_9,Train
esca862.jpg,10835292a4e7be3f16a04bddc47878c0d62a5e4247e8533b2adfa3c6f29550aa,Esca,Vineyard_1,Train
healthy099.jpg,e32733a3cdb5bcda395b49a5df1d3d70e17007a306dc20756e909d8d8a2eb499,Healthy,Vineyard_12,Train
healthy961.jpg,908f581a5ec5c823eb051bd9a9f4682d0ba0d62b3f779850b38d47f13b58ff2b,Healthy,Vineyard_15,Train
esca344.jpg,e536a41e4f7b881316654a1b90c2adaca4b82ab7348911f6ed0d0a11c300ff33,Esca,Vineyard_15,Train
esca301.jpg,30bdeeb0997212446d26bb4d6f6f625d0b696d8b25ffd07c84381b30e60cb175,Esca,Vineyard_13,Train
healthy774.jpg,36751134bfebe4066db8bdc5bae7f4e94612d93dd19932e34dd265e5fef2d302,Healthy,Vineyard_17,Train
esca658.jpg,24ea1906c8d72b715d578d05b165709ff09a555339e4c4f3b65cf130124052ac,Esca,Vineyard_15,Train
leaf blight383.jpg,6d3887e6956f748533e19df3249508430dd3b759af82de45b46b10532014dfc0,Leaf Blight,Vineyard_4,Train
esca493.jpg,ef96fecf7e7d22d3710c36eaf91721d7e714ea5135a333fa38842deb30d5503d,Esca,Vineyard_1,Train
esca598.jpg,0825719cd30acb89daf9fc9066051c0a1fa0567e1634e474e5fe331b91f1e49d,Esca,Vineyard_23,Train
healthy428.jpg,4bae652d83bb8b0908be9ff112ef5f597058ebd79c26a66ed93b4fb3a8c7c2eb,Healthy,Vineyard_25,Train
healthy966.jpg,ca46038edc04c7bbccc14374bb3b2602f29c773671b17133c67adcdbfbb4a047,Healthy,Vineyard_22,Train
healthy240.jpg,c4ce318f33e3191c57279e9d70e3957838ce617b4acfcc2d4d9d182914dcd6ba,Healthy,Vineyard_23,Train
black rot491.jpg,2b59fd8a23aaa6a6c82b7e32bd4b1c111c6dc2d60e107c70024ed46cb84c9366,Black Rot,Vineyard_24,Train
esca031.jpg,a909e1207f587bb85095f9a16a7e99e4444adadb0b61994d6b02f1c17ed67c9e,Esca,Vineyard_5,Train
healthy086.jpg,4d443aaca69738f95608a5f71c8647e6f3a719c861f2e9c8d423a01db6d27e52,Healthy,Vineyard_15,Train
healthy1023.jpg,7f31afc80243c27ca78cdd1dcc389045996f841b581862d54a4ca1977464c019,Healthy,Vineyard_27,Train
esca640.jpg,cf8d891b31ec8753477e42df7338f5aafd7ed8876df567c3df353ef9c5c1c91e,Esca,Vineyard_8,Train
esca626.jpg,7aff3a3c694a184145ddadb1e849005aca85a68aca69d26d1f1e8ab1535b8167,Esca,Vineyard_24,Train
esca234.jpg,eeb27d5a46ca187c2e66420d95472cb53db4a7953a8245807c4cfeefad0bd3b1,Esca,Vineyard_12,Train
healthy898.jpg,9a0bd321da3edc63e1250f19da6a13f80fe638933ef3463ea2b663343e1e3dc4,Healthy,Vineyard_2,Train
esca281.jpg,029686d4d46c7c5c705eee96f03401d61e83627f3924de77e90da43040dd1204,Esca,Vineyard_10,Train
esca678.jpg,6c46729880281aa039786bcf70d4df1863b2eed9715dac09ca62137fcb8f52ea,Esca,Vineyard_8,Train
esca066.jpg,4c6fa0fb2b82903bdcd0818c998ea90baee5096446edf1d19126b775bf626ca8,Esca,Vineyard_26,Train
healthy511.jpg,2e742c308a579e22ba064f10c6a5778273fb3aaa9a5623df687f55cf545046a5,Healthy,Vineyard_9,Train
black rot657.jpg,ba9d808b192cd5a1bf3ee2b9330048aa38575bfa2289dbbb483cf7e7b0772de1,Black Rot,Vineyard_8,Train
